customerName,recency,frequency,monetary,totalSalesAmount,totalProfit,cluster,segment
ISUZU EAST AFRICA LTD,9,783,90121758.25,90121758.25,13089797.709999999,2,Whales
MOTREX LTD,29,144,58711408.55,58711408.55,3602411.66,3,Loyal Customers
TRANSEAST LIMITED,9,111,48845632.73,48845632.73,11463718.24,3,Loyal Customers
CONTIPARTNER CASH SALE - LUSAKA RD,1,4220,39922641.45,39922641.45,13901085.5,2,Whales
CONTIPARTNER CASHSALE - HURLINGHAM,2,3589,26856898.99,26856898.99,7936810.45,2,Whales
RELIABLE FREIGHT SERVICES LTD,12,631,24414164.22,24414164.22,2705415.24,2,Whales
KENYA POWER & LIGHTING CO.LTD,194,329,21080968.19,21080968.19,1555286.07,3,Loyal Customers
CONTIPARTNER C/SALE NGONG ROAD,1,3930,19787540.64,19787540.64,5942061.86,2,Whales
MASAI (K) LIMITED,61,75,18401896.23,18401896.23,2400489.64,3,Loyal Customers
WAMBU AUTO TYRES,11,490,17743705.78,17743705.78,3664120.37,2,Whales
TRANSEAST UGANDA LTD,153,49,15290355.03,15290355.03,1339483.4,0,Potential Loyalists
CONTIPARTNER CASH SALE - THIKA ROAD,1,3558,14029291.79,14029291.79,4422427.04,2,Whales
KINGSWAY TYRES LTD,18,250,13288368.56,13288368.56,2930415.34,3,Loyal Customers
CONTIPARTNER CASH SALE - KIAMBU  RD,1,2007,12354331.53,12354331.53,4335232.42,2,Whales
MAINLINE HAULIERS LIMITED,53,76,12301593.790000001,12301593.790000001,945146.8999999999,3,Loyal Customers
UGANDA TRANSPORT AGENCIES LTD,2,37,11845649.18,11845649.18,1805482.7799999998,3,Loyal Customers
HANKOOK MASTERS - THE HUB KAREN BRANCH,2,1582,11169935.36,11169935.36,3380332.17,2,Whales
CONTIPARTNER CASH SALE - VIC PRESTON,1,1993,11035330.43,11035330.43,3318771.08,2,Whales
SIGINON GROUP LIMITED,35,147,10647827.09,10647827.09,2672452.96,3,Loyal Customers
CONTIPARTNER - C/SALE - DENNIS PRITT RD,1,3453,8943150.75,8943150.75,2157546.03,2,Whales
SWAN CARRIERS LIMITED,37,53,8896586.86,8896586.86,1750395.0300000003,3,Loyal Customers
AZAN ENTERPRISES,2,432,8149760.44,8149760.44,1826282.61,2,Whales
CONTIPARTNER CASH SALE - WESTLANDS,1,1601,7950711.81,7950711.81,2760464.38,2,Whales
WEST KENYA SUGAR CO. LTD,144,10,6783724.0,6783724.0,-58602.98999999999,0,Potential Loyalists
NDUGU TRANSPORT COMPANY LTD,9,40,6257793.28,6257793.28,1160391.99,3,Loyal Customers
CONTIPARTNER CASH SALE - RONGAI [Discount Tyres],1,610,5641645.36,5641645.36,2147606.15,2,Whales
TATA AFRICA HOLDINGS (K) LTD,41,41,5544734.76,5544734.76,3306006.46,3,Loyal Customers
AZAN ENTERPRISES (TRUCK),14,129,5538452.17,5538452.17,1035698.37,3,Loyal Customers
GREYSTONE WORKS LTD,50,15,5419316.28,5419316.28,31668.580000000016,0,Potential Loyalists
TRADECORP FREIGHT FORWARDERS,293,9,5296488.87,5296488.87,-4127508.27,0,Potential Loyalists
BEST POINT AUTOTYRES,33,152,4127758.67,4127758.67,1098592.95,3,Loyal Customers
EASY COACH LTD.,12,73,4046982.85,4046982.85,713094.74,3,Loyal Customers
MALINDI AUTOFIT EXPRESS LTD,14,136,3912284.18,3912284.18,948892.68,3,Loyal Customers
TEXCAL 4*4 SAFARIS EA LTD,8,188,3869770.32,3869770.32,693681.97,3,Loyal Customers
CHANNAN AGRICULTURE CONTRACTORS,26,18,3833836.3100000005,3833836.3100000005,1088033.8,3,Loyal Customers
A.JIWA SHAMJI LTD,19,78,3746680.9499999997,3746680.9499999997,936054.5599999999,3,Loyal Customers
ORION HAULIERS LIMITED,69,94,3741293.14,3741293.14,364582.04000000004,3,Loyal Customers
NEW GATITU SERVICE STATION (1977) LTD,5,268,3685523.77,3685523.77,1056553.16,3,Loyal Customers
CASH SALE,1,376,3660212.57,3660212.57,1311152.66,2,Whales
MBOONI TYRES AND AUTOMART,34,25,3618060.41,3618060.41,826432.04,3,Loyal Customers
SPECIALITY TYRES (K) LTD,89,22,3484245.4299999997,3484245.4299999997,1111735.35,0,Potential Loyalists
Carbacid Ltd,44,47,3480000.0,3480000.0,1943786.8699999999,3,Loyal Customers
